,Name,Ratings,Price
1849,"""Direkt-Tek 11.6"""" Convertible Touchscreen Laptop, Windows 10, Office 365 Personal 1-Year Subscription Included ($69.99 Value), Windows Hello (Fingerprint Reader), Windows Ink (Smart Stylus included)""",3.429,169.0
148,"""Epik Teqnio ELL1201T 12.5"""" Laptop, Windows 10 Home, Intel Atom x5-Z8350 Processor, 2GB RAM, 32GB Flash Drive""",2.643,129.0
1274,"""HP 10-p010nr 10.1"""" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Atom x5-Z8350 Quad-Core Processor, 2GB RAM, 32GB Flash Storage""",3.474,259.0
1249,"""HP 10-p018wm Detachable Laptop, 10.1"""" IPS Touch Display, Windows 10 Home, Intel Atom x5-Z8350 Processor, 4GB Memory, 64GB eMMC Storage, 802.11 Wirless AC, HP Active Pen""",3.667,299.0
3274,"""HP 11-v010wm 11.6"""" Chromebook, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive""",4.444,199.0
2499,"""HP 11-v020wm 11.6"""" Chromebook, Corning® Gorilla® Glass Touchscreen, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive""",4.6,199.0
1324,"""HP 14"""" Snow White/Pastel Sky Blue 14-Ak060Nr Chromebook PC with Intel Celeron N2940 Quad-Core Processor, 4GB Memory, 16GB eMMC Hard Drive and Chrome OS""",3.731,239.99
3399,"""HP 14-ak030nr 14"""" Chromebook, Chrome, Intel Celeron N2840 Processor, 4GB RAM, 16GB eMMC""",4.333,229.99
2963,"""HP 14-ak040wm 14"""" Chromebook, Chrome, Full HD IPS Display, Intel Celeron N2940 Processor, 4GB RAM, 16GB eMMC Drive""",4.556,279.0
3773,"""HP 14-bw065nr 14"""" Laptop AMD E2-9000e 4GB DDR4 32GB eMMC Win10""",2.667,210.99
19,"""HP 15-BA015WM,15.6"""" Laptop, Windows 10, AMD E2-7110 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD""",3.294,296.0
448,"""HP 15-Bs030Nr 15.6"""" Laptop, Touchscreen, Windows 10, Intel Core i5-7200U Processor, 8GB RAM, 1TB Hard Drive""",4.25,549.99
324,"""HP 15-Bw010Nr 15.6"""" Laptop, Windows 10, Windows 10, AMD Dual-Core E2-9000e Processor, 4GB RAM, 500GB Hard Drive""",3.0,299.99
649,"""HP 15-Bw071Nr 15.6"""" Laptop, Windows 10 Home, AMD A9-9420 Dual-Core Processor, 4GB RAM, 1TB Hard Drive""",5.0,379.99
1,"""HP 15-ay039wm 15.6"""" Silver Fusion Laptop, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive""",4.051,468.0
20,"""HP 15-ay041wm 15.6"""" Silver Fusion Laptop, Touch Screen, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive""",3.955,483.0
524,"""HP 15-ay070wm 15.6"""" Realtree Xtra Camo Laptop, Windows 10, Intel Pentium N3710 Processor, 4GB Memory, 1TB Hard Drive""",3.583,359.0
14,"""HP 15-bs020WM, 15.6"""" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD""",3.182,323.0
1224,"""HP 15-bw004wm 15.6"""" Pale Mint Laptop, Windows 10, AMD E2-9000e Processor, 4GB Memory, 500GB Hard Drive, DVD, with Wireless Mouse and Sleeve Included""",3.25,269.0
