,Name,Ratings,Price
898,"HP 15-f222wm – 15.6 Laptop ,Touchscreen, Windows 10 Home, Intel Pentium Quad-Core Processor, 4GB Memory, 500GB Hard Drive",3.783,349.0
3499,"HP ENVY 13-AD065NR,WINDOWS 10 HOME,INTEL CORE I5-7200U,8 GB LPDDR3,128 GB LAPTOP",2.0,767.52
299,"HP Silver Iridium A12 15-cd040wm 15.6” Laptop, Touchscreen, Windows 10 Home, AMD Quad-Core A12-9720P, 12GB Memory, 1TB Hard Drive",3.615,449.0
99,"HP Stream 14-ax030wm 14” Smoke Gray, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron Processor N3060, 4GB Memory, 32GB Storage",3.682,219.0
10,"Lenovo ideapad 320 15.6 Laptop, Windows 10, Intel Celeron N3350 Dual-Core Processor, 4GB RAM, 1TB Hard Drive – Platinum Grey",2.522,269.0
998,"Megatron 14.1 Black touch screen 2-in-1 Convertible Laptop PC with Intel Atom Cherry Trail Z8300 Processor, 2GB Memory, 32GB Flash Drive and Windows 10",2.6,149.0
3824,Refurbished Apple MacBook Pro 13.3 Intel Core 2 Duo 2.26GHz 2GB 160GB Laptop MB990LL/A,5.0,338.59
2324,Refurbished Apple MacBook Pro 13.3 Intel Core 2 Duo 2.4GHz 4GB 250GB Laptop MC374LL/A (Scratch and Dent),5.0,329.87
1973,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",3.875,179.99
3649,"Refurbished Samsung Chromebook 11.6 Laptop 1.7GHz, 2GB Ram, 16GB SSD, Silver Webcam - XE303C12 (Scratches & Dents)",3.455,97.49
