Name,Ratings,Price,Source,Left_Right_Name,Left_Right_Ratings,Left_Right_Price,Left_Right_Source,Right_Name,Right_Ratings,Right_Price,Right_Source
"Apple MacBook Pro Core i5 2.5GHz 4GB RAM 500GB HD 13"" - MD101LL/A",4.76,449.97,ebay,Apple Macbook Pro Core i5 - (4 GB/500 GB HDD/OS X Mavericks) A1278,4.4,89800,Flipkart,"""Apple MacBook Pro 13.3"""" Intel Dual Core i5 2.5GHz 4GB 500GB Laptop - MD101LLA""",3.462,449.89,Walmart
"Apple MacBook Pro Core i5 2.5GHz 4GB RAM 500GB HD 13"" - MD101LL/A",4.76,449.97,ebay,Apple Macbook Pro Core i5 - (4 GB/500 GB HDD/OS X Mavericks) A1278,4.4,89800,Flipkart,"""Certified Refurbished - Apple Macbook Pro 13"""" core i5 2012 [2.5] [500GB] [16GB] MD101LL/A816""",5,769.99,Walmart
"Apple MacBook Pro Core i7 2.7GHz 4GB RAM 500GB HD 13"" - MC724LL/A",4.88,469.97,ebay,Apple Macbook Pro Core i5 - (4 GB/500 GB HDD/OS X Mavericks) A1278,4.4,89800,Flipkart,Certified Refurbished - Apple MacBook Pro 15-Inch Laptop  - 2.0Ghz Core i7 / 4GB RAM / 500GB MC721LL/A (Grade B),4,544.76,Walmart
"Apple MacBook Pro Retina 15.4"" Intel i7 Quad-Core 16GB RAM 256GB SSD MGXA2LL/A",4.85,1169,ebay,Apple MacBook Pro Core i7 5th Gen - (16 GB/256 GB SSD/OS X El Capitan) MJLQ2HN/A,4.1,141470,Flipkart,Apple MacBook Pro MJLT2LL/A 15.4-Inch Laptop with Retina Display (512 GB),5,2142.89,Walmart
"Apple MacBook Pro Retina Display Core i7 2.4GHz 15"" 8GB 256GB SSD ME664LL/A",4.84,725,ebay,Apple MacBook Pro Core i7 5th Gen - (16 GB/256 GB SSD/OS X El Capitan) MJLQ2HN/A,4.1,141470,Flipkart,"""Apple MacBook Pro 13.3"""" Intel Dual Core i5 2.5GHz 4GB 500GB Laptop - MD101LLA""",3.462,449.89,Walmart
